Pixel,Well,i,j
1,5,1,16
2,5,2,16
3,5,3,16
4,5,4,16
5,5,5,16
6,5,6,16
7,5,7,16
8,5,8,16
9,5,9,16
10,5,10,16
11,5,11,16
12,5,12,16
13,5,13,16
14,5,14,16
15,5,15,16
16,5,16,16
17,5,1,15
18,5,2,15
19,5,3,15
20,5,4,15
21,5,5,15
22,5,6,15
23,5,7,15
24,5,8,15
25,5,9,15
26,5,10,15
27,5,11,15
28,5,12,15
29,5,13,15
30,5,14,15
31,5,15,15
32,5,16,15
33,5,1,14
34,5,2,14
35,5,3,14
36,5,4,14
37,5,5,14
38,5,6,14
39,5,7,14
40,5,8,14
41,5,9,14
42,5,10,14
43,5,11,14
44,5,12,14
45,5,13,14
46,5,14,14
47,5,15,14
48,5,16,14
49,5,1,13
50,5,2,13
51,5,3,13
52,5,4,13
53,5,5,13
54,5,6,13
55,5,7,13
56,5,8,13
57,5,9,13
58,5,10,13
59,5,11,13
60,5,12,13
61,5,13,13
62,5,14,13
63,5,15,13
64,5,16,13
65,5,1,12
66,5,2,12
67,5,3,12
68,5,4,12
69,5,5,12
70,5,6,12
71,5,7,12
72,5,8,12
73,5,9,12
74,5,10,12
75,5,11,12
76,5,12,12
77,5,13,12
78,5,14,12
79,5,15,12
80,5,16,12
81,5,1,11
82,5,2,11
83,5,3,11
84,5,4,11
85,5,5,11
86,5,6,11
87,5,7,11
88,5,8,11
89,5,9,11
90,5,10,11
91,5,11,11
92,5,12,11
93,5,13,11
94,5,14,11
95,5,15,11
96,5,16,11
97,5,1,10
98,5,2,10
99,5,3,10
100,5,4,10
101,5,5,10
102,5,6,10
103,5,7,10
104,5,8,10
105,5,9,10
106,5,10,10
107,5,11,10
108,5,12,10
109,5,13,10
110,5,14,10
111,5,15,10
112,5,16,10
113,5,1,9
114,5,2,9
115,5,3,9
116,5,4,9
117,5,5,9
118,5,6,9
119,5,7,9
120,5,8,9
121,5,9,9
122,5,10,9
123,5,11,9
124,5,12,9
125,5,13,9
126,5,14,9
127,5,15,9
128,5,16,9
129,5,1,8
130,5,2,8
131,5,3,8
132,5,4,8
133,5,5,8
134,5,6,8
135,5,7,8
136,5,8,8
137,5,9,8
138,5,10,8
139,5,11,8
140,5,12,8
141,5,13,8
142,5,14,8
143,5,15,8
144,5,16,8
145,5,1,7
146,5,2,7
147,5,3,7
148,5,4,7
149,5,5,7
150,5,6,7
151,5,7,7
152,5,8,7
153,5,9,7
154,5,10,7
155,5,11,7
156,5,12,7
157,5,13,7
158,5,14,7
159,5,15,7
160,5,16,7
161,5,1,6
162,5,2,6
163,5,3,6
164,5,4,6
165,5,5,6
166,5,6,6
167,5,7,6
168,5,8,6
169,5,9,6
170,5,10,6
171,5,11,6
172,5,12,6
173,5,13,6
174,5,14,6
175,5,15,6
176,5,16,6
177,5,1,5
178,5,2,5
179,5,3,5
180,5,4,5
181,5,5,5
182,5,6,5
183,5,7,5
184,5,8,5
185,5,9,5
186,5,10,5
187,5,11,5
188,5,12,5
189,5,13,5
190,5,14,5
191,5,15,5
192,5,16,5
193,5,1,4
194,5,2,4
195,5,3,4
196,5,4,4
197,5,5,4
198,5,6,4
199,5,7,4
200,5,8,4
201,5,9,4
202,5,10,4
203,5,11,4
204,5,12,4
205,5,13,4
206,5,14,4
207,5,15,4
208,5,16,4
209,5,1,3
210,5,2,3
211,5,3,3
212,5,4,3
213,5,5,3
214,5,6,3
215,5,7,3
216,5,8,3
217,5,9,3
218,5,10,3
219,5,11,3
220,5,12,3
221,5,13,3
222,5,14,3
223,5,15,3
224,5,16,3
225,5,1,2
226,5,2,2
227,5,3,2
228,5,4,2
229,5,5,2
230,5,6,2
231,5,7,2
232,5,8,2
233,5,9,2
234,5,10,2
235,5,11,2
236,5,12,2
237,5,13,2
238,5,14,2
239,5,15,2
240,5,16,2
241,5,1,1
242,5,2,1
243,5,3,1
